location_id,name,area,location_type,x_coord,y_coord
L001,GATE Block E,Korle-Bu Main Campus,GATE,5.566984,-0.184192
L002,GATE Block E,Korle-Bu Main Campus,GATE,5.566833,-0.197034
L003,ADMIN Block A,Korle-Bu Main Campus,ADMIN,5.561695,-0.196665
L004,ADMIN Block B,Korle-Bu Main Campus,ADMIN,5.560786,-0.194410
L005,GATE Block E,Korle-Bu Main Campus,GATE,5.550262,-0.192844
L006,Emergency Ward 6,Korle-Bu Main Campus,WARD,5.561573,-0.194956
L007,LAB Block D,Korle-Bu Main Campus,LAB,5.560862,-0.198218
L008,ADMIN Block C,Korle-Bu Main Campus,ADMIN,5.555222,-0.192561
L009,ADMIN Block D,Korle-Bu Main Campus,ADMIN,5.569337,-0.197342
L010,General Ward A 10,Korle-Bu Main Campus,WARD,5.567142,-0.182312
L011,Pediatric Ward 11,Korle-Bu Main Campus,WARD,5.560185,-0.190712
L012,STORE Block C,Korle-Bu Main Campus,STORE,5.553892,-0.199251
L013,ICU 13,Korle-Bu Main Campus,WARD,5.553887,-0.194983
L014,LAB Block D,Korle-Bu Main Campus,LAB,5.557765,-0.188045
L015,LAB Block B,Korle-Bu Main Campus,LAB,5.565799,-0.195443
L016,PHARMACY Block C,Korle-Bu Main Campus,PHARMACY,5.553145,-0.184747
L017,PHARMACY Block D,Korle-Bu Main Campus,PHARMACY,5.555030,-0.197349
L018,LAB Block F,Korle-Bu Main Campus,LAB,5.566893,-0.180994
L019,LAB Block F,Korle-Bu Main Campus,LAB,5.568442,-0.187670
L020,GATE Block C,Korle-Bu Main Campus,GATE,5.551514,-0.181909
L021,GATE Block C,Korle-Bu Main Campus,GATE,5.566137,-0.184050
L022,STORE Block A,Korle-Bu Main Campus,STORE,5.561923,-0.189893
L023,GATE Block E,Korle-Bu Main Campus,GATE,5.565166,-0.195670
L024,STORE Block A,Korle-Bu Main Campus,STORE,5.552248,-0.192223
L025,LAB Block A,Korle-Bu Main Campus,LAB,5.550708,-0.197214
L026,STORE Block F,Korle-Bu Main Campus,STORE,5.557479,-0.197320
L027,STORE Block F,Korle-Bu Main Campus,STORE,5.554971,-0.187793
L028,ADMIN Block F,Korle-Bu Main Campus,ADMIN,5.560849,-0.195636
L029,STORE Block D,Korle-Bu Main Campus,STORE,5.558510,-0.190724
L030,ADMIN Block C,Korle-Bu Main Campus,ADMIN,5.557613,-0.180895
L031,LAB Block F,Korle-Bu Main Campus,LAB,5.564791,-0.195870
L032,LAB Block C,Korle-Bu Main Campus,LAB,5.561238,-0.196916
L033,ADMIN Block B,Korle-Bu Main Campus,ADMIN,5.553390,-0.186449
L034,STORE Block E,Korle-Bu Main Campus,STORE,5.561780,-0.187141
L035,LAB Block B,Korle-Bu Main Campus,LAB,5.550430,-0.198182
L036,ADMIN Block E,Korle-Bu Main Campus,ADMIN,5.557160,-0.197462
L037,ADMIN Block B,Korle-Bu Main Campus,ADMIN,5.555255,-0.196127
L038,PHARMACY Block A,Korle-Bu Main Campus,PHARMACY,5.555911,-0.198739
L039,STORE Block B,Korle-Bu Main Campus,STORE,5.552060,-0.198106
L040,STORE Block A,Korle-Bu Main Campus,STORE,5.560290,-0.190878
L041,Pediatric Ward 41,Korle-Bu Main Campus,WARD,5.554666,-0.182050
L042,Emergency Ward 42,Korle-Bu Main Campus,WARD,5.558178,-0.194350
L043,STORE Block E,Korle-Bu Main Campus,STORE,5.565782,-0.185660
L044,GATE Block E,Korle-Bu Main Campus,GATE,5.553262,-0.183085
L045,STORE Block D,Korle-Bu Main Campus,STORE,5.551335,-0.192345
L046,ADMIN Block F,Korle-Bu Main Campus,ADMIN,5.559239,-0.181659
L047,STORE Block F,Korle-Bu Main Campus,STORE,5.561535,-0.198351
L048,LAB Block C,Korle-Bu Main Campus,LAB,5.554438,-0.193359
L049,LAB Block A,Korle-Bu Main Campus,LAB,5.557501,-0.197417
L050,LAB Block F,Korle-Bu Main Campus,LAB,5.568800,-0.189033
