algorithm,inputSize,inputType,timeNanos,comparisons
BubbleSort,100,random,929220,4845
InsertionSort,100,random,78245,2566
InsertionSort,100,sorted,6729,99
SelectionSort,100,random,107976,4950
BubbleSort,500,random,6053093,122539
InsertionSort,500,random,2250803,63176
InsertionSort,500,sorted,17792,499
SelectionSort,500,random,2846855,124750
BubbleSort,1000,random,1307748,498419
InsertionSort,1000,random,820696,251481
InsertionSort,1000,sorted,5298,999
SelectionSort,1000,random,9010768,499500
BubbleSort,2500,random,13469901,3123630
InsertionSort,2500,random,4147032,1585708
InsertionSort,2500,sorted,2246825,2499
SelectionSort,2500,random,16210871,3123750
BubbleSort,5000,random,16830138,12478779
InsertionSort,5000,random,4374014,6329665
InsertionSort,5000,sorted,7876,4999
SelectionSort,5000,random,7080147,12497500
MergeSort,100,random,56520,538
QuickSort,100,random,70210,580
QuickSort,100,sorted,38294,624
MergeSort,500,random,309456,3845
QuickSort,500,random,265249,4566
QuickSort,500,sorted,90002,5233
MergeSort,1000,random,182896,8675
QuickSort,1000,random,200745,11197
QuickSort,1000,sorted,82344,11117
MergeSort,2500,random,335671,25111
QuickSort,2500,random,291850,31073
QuickSort,2500,sorted,234658,36853
MergeSort,5000,random,703742,55229
QuickSort,5000,random,2845497,72971
QuickSort,5000,sorted,438283,73612
MergeSort,10000,random,1590622,120319
QuickSort,10000,random,1776933,145937
QuickSort,10000,sorted,992889,147368
MergeSort,20000,random,7362585,260859
QuickSort,20000,random,6265128,345856
QuickSort,20000,sorted,735448,322520
