resource_id,resource_type,home_location_id,capacity,availability_status
T001,Trolley,L026,1,AVAILABLE
N001,Nurse,L005,1,AVAILABLE
N002,Nurse,L031,1,OFFLINE
P001,Porter,L050,1,BUSY
N003,Nurse,L022,1,AVAILABLE
N004,Nurse,L013,1,BUSY
T002,Trolley,L038,1,AVAILABLE
A001,Ambulance,L016,2,BUSY
T003,Trolley,L034,1,AVAILABLE
T004,Trolley,L003,1,OFFLINE
P002,Porter,L005,1,AVAILABLE
P003,Porter,L005,1,BUSY
P004,Porter,L016,1,OFFLINE
P005,Porter,L025,1,AVAILABLE
T005,Trolley,L003,1,BUSY
N005,Nurse,L031,1,AVAILABLE
T006,Trolley,L020,1,OFFLINE
A002,Ambulance,L046,2,BUSY
A003,Ambulance,L016,2,BUSY
P006,Porter,L023,1,BUSY
T007,Trolley,L007,1,OFFLINE
P007,Porter,L038,1,BUSY
A004,Ambulance,L001,2,OFFLINE
P008,Porter,L020,1,BUSY
P009,Porter,L016,1,OFFLINE
T008,Trolley,L016,1,BUSY
N006,Nurse,L018,1,BUSY
A005,Ambulance,L040,2,AVAILABLE
T009,Trolley,L043,1,BUSY
P010,Porter,L039,1,BUSY
