road_id,from_location_id,to_location_id,distance_km,travel_time_min,condition_weight
R001,L002,L001,0.198,2.07,1.30
R002,L003,L002,0.121,0.95,1.19
R003,L004,L003,0.133,1.04,1.49
R004,L005,L002,0.115,0.93,1.49
R005,L006,L004,0.142,1.17,1.11
R006,L007,L001,0.173,1.36,1.45
R007,L008,L006,0.185,1.74,1.19
R008,L009,L004,0.145,1.64,1.28
R009,L010,L007,0.161,1.45,1.40
R010,L011,L004,0.160,1.55,1.18
R011,L012,L009,0.041,0.55,1.39
R012,L013,L008,0.095,1.11,1.20
R013,L014,L010,0.088,0.90,1.12
R014,L015,L007,0.020,0.17,1.23
R015,L016,L011,0.186,1.81,1.33
R016,L017,L007,0.149,1.77,1.35
R017,L018,L017,0.079,0.65,1.38
R018,L019,L015,0.028,0.22,1.48
R019,L020,L012,0.116,0.88,1.36
R020,L021,L020,0.154,1.60,1.28
R021,L022,L009,0.099,0.87,1.35
R022,L023,L018,0.173,1.39,1.44
R023,L024,L003,0.103,0.79,1.02
R024,L025,L002,0.035,0.27,1.14
R025,L026,L006,0.077,0.84,1.44
R026,L027,L023,0.104,1.12,1.27
R027,L028,L014,0.138,1.23,1.26
R028,L029,L011,0.111,1.31,1.47
R029,L030,L028,0.156,1.62,1.01
R030,L031,L027,0.120,1.27,1.46
R031,L032,L006,0.137,1.42,1.28
R032,L033,L026,0.070,0.59,1.41
R033,L034,L004,0.010,0.08,1.42
R034,L035,L027,0.050,0.56,1.01
R035,L036,L011,0.123,1.40,1.48
R036,L037,L011,0.153,1.21,1.08
R037,L038,L033,0.025,0.32,1.13
R038,L039,L001,0.180,1.84,1.49
R039,L040,L022,0.163,1.96,1.27
R040,L041,L011,0.060,0.51,1.46
R041,L042,L014,0.099,0.84,1.21
R042,L043,L027,0.081,0.82,1.40
R043,L044,L025,0.046,0.47,1.27
R044,L045,L042,0.049,0.60,1.17
R045,L046,L003,0.056,0.59,1.48
R046,L047,L045,0.034,0.31,1.24
R047,L048,L018,0.129,1.60,1.44
R048,L049,L032,0.132,1.13,1.16
R049,L050,L013,0.132,1.07,1.47
R050,L043,L037,0.162,1.87,1.23
R051,L041,L014,0.050,0.52,1.29
R052,L004,L034,0.106,0.97,1.17
R053,L004,L021,0.133,1.54,1.21
R054,L049,L039,0.171,2.21,1.49
R055,L024,L026,0.025,0.26,1.28
R056,L012,L050,0.056,0.49,1.05
R057,L021,L049,0.108,1.33,1.18
R058,L018,L044,0.095,0.94,1.23
R059,L029,L020,0.135,1.20,1.17
R060,L012,L025,0.143,1.11,1.42
R061,L020,L050,0.191,1.70,1.37
R062,L023,L027,0.164,1.71,1.01
R063,L035,L024,0.113,1.51,1.14
R064,L010,L039,0.109,0.86,1.24
R065,L038,L015,0.050,0.43,1.45
R066,L018,L028,0.157,1.66,1.38
R067,L035,L016,0.086,0.87,1.25
R068,L019,L008,0.148,1.48,1.24
R069,L004,L021,0.011,0.09,1.08
R070,L041,L001,0.126,1.67,1.35
R071,L005,L043,0.098,0.75,1.07
R072,L015,L031,0.181,1.51,1.09
R073,L045,L018,0.062,0.50,1.32
R074,L043,L033,0.051,0.50,1.16
R075,L050,L044,0.037,0.31,1.15
R076,L048,L044,0.023,0.19,1.14
R077,L020,L041,0.053,0.41,1.37
R078,L044,L033,0.066,0.77,1.21
R079,L031,L033,0.050,0.39,1.35
R080,L038,L042,0.160,1.81,1.39
R081,L011,L048,0.062,0.48,1.33
R082,L005,L029,0.197,1.53,1.41
R083,L037,L022,0.028,0.24,1.36
R084,L038,L045,0.198,1.53,1.18
R085,L027,L010,0.083,0.72,1.41
R086,L042,L022,0.028,0.32,1.33
R087,L021,L033,0.177,1.56,1.08
R088,L032,L050,0.015,0.12,1.26
R089,L010,L004,0.198,1.77,1.17
R090,L035,L021,0.038,0.51,1.37
R091,L014,L049,0.094,0.81,1.02
R092,L002,L031,0.191,1.72,1.40
R093,L018,L020,0.070,0.58,1.12
R094,L046,L043,0.104,1.35,1.21
R095,L001,L019,0.140,1.31,1.50
R096,L049,L023,0.181,2.50,1.19
R097,L010,L041,0.117,1.57,1.15
R098,L010,L014,0.065,0.63,1.28
R099,L007,L021,0.061,0.82,1.12
R100,L031,L007,0.170,1.43,1.16
