locationId,name,area,type,latitude,longitude
1,GATE Block E,Korle-Bu Main Campus,GATE,5.566984,-0.184192
2,GATE Block E,Korle-Bu Main Campus,GATE,5.566833,-0.197034
3,ADMIN Block A,Korle-Bu Main Campus,ADMIN,5.561695,-0.196665
4,ADMIN Block B,Korle-Bu Main Campus,ADMIN,5.560786,-0.194410
5,GATE Block E,Korle-Bu Main Campus,GATE,5.550262,-0.192844
6,Emergency Ward 6,Korle-Bu Main Campus,WARD,5.561573,-0.194956
7,LAB Block D,Korle-Bu Main Campus,LAB,5.560862,-0.198218
8,ADMIN Block C,Korle-Bu Main Campus,ADMIN,5.555222,-0.192561
9,ADMIN Block D,Korle-Bu Main Campus,ADMIN,5.569337,-0.197342
10,General Ward A 10,Korle-Bu Main Campus,WARD,5.567142,-0.182312
11,Pediatric Ward 11,Korle-Bu Main Campus,WARD,5.560185,-0.190712
12,STORE Block C,Korle-Bu Main Campus,STORE,5.553892,-0.199251
13,ICU 13,Korle-Bu Main Campus,WARD,5.553887,-0.194983
14,LAB Block D,Korle-Bu Main Campus,LAB,5.557765,-0.188045
15,LAB Block B,Korle-Bu Main Campus,LAB,5.565799,-0.195443
16,PHARMACY Block C,Korle-Bu Main Campus,PHARMACY,5.553145,-0.184747
17,PHARMACY Block D,Korle-Bu Main Campus,PHARMACY,5.555030,-0.197349
18,LAB Block F,Korle-Bu Main Campus,LAB,5.566893,-0.180994
19,LAB Block F,Korle-Bu Main Campus,LAB,5.568442,-0.187670
20,GATE Block C,Korle-Bu Main Campus,GATE,5.551514,-0.181909
21,GATE Block C,Korle-Bu Main Campus,GATE,5.566137,-0.184050
22,STORE Block A,Korle-Bu Main Campus,STORE,5.561923,-0.189893
23,GATE Block E,Korle-Bu Main Campus,GATE,5.565166,-0.195670
24,STORE Block A,Korle-Bu Main Campus,STORE,5.552248,-0.192223
25,LAB Block A,Korle-Bu Main Campus,LAB,5.550708,-0.197214
26,STORE Block F,Korle-Bu Main Campus,STORE,5.557479,-0.197320
27,STORE Block F,Korle-Bu Main Campus,STORE,5.554971,-0.187793
28,ADMIN Block F,Korle-Bu Main Campus,ADMIN,5.560849,-0.195636
29,STORE Block D,Korle-Bu Main Campus,STORE,5.558510,-0.190724
30,ADMIN Block C,Korle-Bu Main Campus,ADMIN,5.557613,-0.180895
31,LAB Block F,Korle-Bu Main Campus,LAB,5.564791,-0.195870
32,LAB Block C,Korle-Bu Main Campus,LAB,5.561238,-0.196916
33,ADMIN Block B,Korle-Bu Main Campus,ADMIN,5.553390,-0.186449
34,STORE Block E,Korle-Bu Main Campus,STORE,5.561780,-0.187141
35,LAB Block B,Korle-Bu Main Campus,LAB,5.550430,-0.198182
36,ADMIN Block E,Korle-Bu Main Campus,ADMIN,5.557160,-0.197462
37,ADMIN Block B,Korle-Bu Main Campus,ADMIN,5.555255,-0.196127
38,PHARMACY Block A,Korle-Bu Main Campus,PHARMACY,5.555911,-0.198739
39,STORE Block B,Korle-Bu Main Campus,STORE,5.552060,-0.198106
40,STORE Block A,Korle-Bu Main Campus,STORE,5.560290,-0.190878
41,Pediatric Ward 41,Korle-Bu Main Campus,WARD,5.554666,-0.182050
42,Emergency Ward 42,Korle-Bu Main Campus,WARD,5.558178,-0.194350
43,STORE Block E,Korle-Bu Main Campus,STORE,5.565782,-0.185660
44,GATE Block E,Korle-Bu Main Campus,GATE,5.553262,-0.183085
45,STORE Block D,Korle-Bu Main Campus,STORE,5.551335,-0.192345
46,ADMIN Block F,Korle-Bu Main Campus,ADMIN,5.559239,-0.181659
47,STORE Block F,Korle-Bu Main Campus,STORE,5.561535,-0.198351
48,LAB Block C,Korle-Bu Main Campus,LAB,5.554438,-0.193359
49,LAB Block A,Korle-Bu Main Campus,LAB,5.557501,-0.197417
50,LAB Block F,Korle-Bu Main Campus,LAB,5.568800,-0.189033
