resourceId,type,homeLocation,capacity,availabilityStatus
1,TROLLEY,26,1,AVAILABLE
2,NURSE,5,1,AVAILABLE
3,NURSE,31,1,OFFLINE
4,PORTER,50,1,BUSY
5,NURSE,22,1,AVAILABLE
6,NURSE,13,1,BUSY
7,TROLLEY,38,1,AVAILABLE
8,AMBULANCE,16,2,BUSY
9,TROLLEY,34,1,AVAILABLE
10,TROLLEY,3,1,OFFLINE
11,PORTER,5,1,AVAILABLE
12,PORTER,5,1,BUSY
13,PORTER,16,1,OFFLINE
14,PORTER,25,1,AVAILABLE
15,TROLLEY,3,1,BUSY
16,NURSE,31,1,AVAILABLE
17,TROLLEY,20,1,OFFLINE
18,AMBULANCE,46,2,BUSY
19,AMBULANCE,16,2,BUSY
20,PORTER,23,1,BUSY
21,TROLLEY,7,1,OFFLINE
22,PORTER,38,1,BUSY
23,AMBULANCE,1,2,OFFLINE
24,PORTER,20,1,BUSY
25,PORTER,16,1,OFFLINE
26,TROLLEY,16,1,BUSY
27,NURSE,18,1,BUSY
28,AMBULANCE,40,2,AVAILABLE
29,TROLLEY,43,1,BUSY
30,PORTER,39,1,BUSY
