roadId,fromLocationId,toLocationId,distance,travelTime,roadConditionWeight
1,2,1,198.12,124.00,1.30
2,3,2,121.43,57.00,1.19
3,4,3,132.67,62.53,1.49
4,5,2,115.20,56.00,1.49
5,6,4,141.51,70.09,1.11
6,7,1,172.84,81.55,1.45
7,8,6,184.78,104.14,1.19
8,9,4,144.58,98.25,1.28
9,10,7,160.53,86.70,1.40
10,11,4,160.46,92.93,1.18
11,12,9,41.03,33.12,1.39
12,13,8,95.00,66.39,1.20
13,14,10,88.25,53.74,1.12
14,15,7,19.59,10.38,1.23
15,16,11,185.75,108.33,1.33
16,17,7,149.31,105.99,1.35
17,18,17,79.29,39.13,1.38
18,19,15,27.76,12.95,1.48
19,20,12,116.05,52.88,1.36
20,21,20,153.73,96.02,1.28
21,22,9,98.50,52.02,1.35
22,23,18,172.78,83.60,1.44
23,24,3,102.70,47.60,1.02
24,25,2,34.67,16.26,1.14
25,26,6,76.82,50.18,1.44
26,27,23,103.99,67.43,1.27
27,28,14,137.99,73.76,1.26
28,29,11,110.82,78.59,1.47
29,30,28,155.73,97.41,1.01
30,31,27,119.57,76.15,1.46
31,32,6,137.33,84.93,1.28
32,33,26,69.73,35.23,1.41
33,34,4,10.06,4.98,1.42
34,35,27,49.77,33.58,1.01
35,36,11,122.98,84.25,1.48
36,37,11,152.76,72.86,1.08
37,38,33,24.88,19.26,1.13
38,39,1,179.84,110.44,1.49
39,40,22,162.80,117.72,1.27
40,41,11,60.49,30.36,1.46
41,42,14,99.50,50.64,1.21
42,43,27,81.40,49.22,1.40
43,44,25,45.88,28.38,1.27
44,45,42,48.68,35.71,1.17
45,46,3,55.70,35.47,1.48
46,47,45,34.12,18.73,1.24
47,48,18,128.87,96.05,1.44
48,49,32,132.00,67.86,1.16
49,50,13,132.18,64.39,1.47
50,43,37,161.74,112.24,1.23
51,41,14,49.79,31.49,1.29
52,4,34,106.18,58.45,1.17
53,4,21,132.51,92.37,1.21
54,49,39,170.72,132.63,1.49
55,24,26,24.86,15.43,1.28
56,12,50,56.35,29.42,1.05
57,21,49,107.57,79.67,1.18
58,18,44,95.43,56.55,1.23
59,29,20,134.83,72.00,1.17
60,12,25,143.22,66.83,1.42
61,20,50,190.52,101.90,1.37
62,23,27,163.72,102.51,1.01
63,35,24,113.44,90.67,1.14
64,10,39,108.82,51.61,1.24
65,38,15,49.52,25.68,1.45
66,18,28,157.31,99.35,1.38
67,35,16,86.10,52.20,1.25
68,19,8,147.71,89.06,1.24
69,4,21,11.19,5.19,1.08
70,41,1,126.48,100.20,1.35
71,5,43,97.93,44.85,1.07
72,15,31,180.68,90.59,1.09
73,45,18,62.02,29.97,1.32
74,43,33,51.49,29.92,1.16
75,50,44,37.38,18.74,1.15
76,48,44,22.74,11.21,1.14
77,20,41,52.90,24.89,1.37
78,44,33,65.88,46.03,1.21
79,31,33,50.43,23.21,1.35
80,38,42,160.45,108.65,1.39
81,11,48,61.83,28.86,1.33
82,5,29,196.58,91.58,1.41
83,37,22,28.15,14.23,1.36
84,38,45,198.08,91.66,1.18
85,27,10,82.61,43.18,1.41
86,42,22,27.75,19.19,1.33
87,21,33,177.05,93.81,1.08
88,32,50,14.65,7.24,1.26
89,10,4,198.42,106.13,1.17
90,35,21,37.87,30.50,1.37
91,14,49,93.95,48.89,1.02
92,2,31,190.61,103.11,1.40
93,18,20,69.87,34.92,1.12
94,46,43,103.91,81.11,1.21
95,1,19,139.51,78.58,1.50
96,49,23,180.71,150.28,1.19
97,10,41,117.11,93.98,1.15
98,10,14,65.24,37.83,1.28
99,7,21,60.90,49.32,1.12
100,31,7,170.22,85.75,1.16
